gpu,batch,kv_len,heads,head_dim,dtype,runtime_s,latency_ms,tokens_per_s,approx_tflops,max_memory_gb,max_temperature_c,max_power_w
NVIDIA GH200 120GB,1,1024,64,128,float16,0.0014036799669265747,0.028073599338531496,35620.65511946959,1.1952308500016944,0.031404972076416016,29.0,95.74
NVIDIA GH200 120GB,1,4096,64,128,float16,0.0024200000762939454,0.04840000152587891,20661.156373421018,2.7730934662932887,0.12515497207641602,29.0,105.61
NVIDIA GH200 120GB,1,16384,64,128,float16,0.007685120105743408,0.15370240211486816,6506.0791909592845,3.492924668794533,0.500154972076416,29.0,115.75
NVIDIA GH200 120GB,1,65536,64,128,float16,0.02902396774291992,0.5804793548583984,1722.714152760763,3.699500473231913,2.000154972076416,30.0,140.02
NVIDIA GH200 120GB,2,1024,64,128,float16,0.0014779839515686034,0.02955967903137207,67659.73331027628,2.2702839204978003,0.06268548965454102,30.0,149.95
NVIDIA GH200 120GB,2,4096,64,128,float16,0.004146368026733399,0.08292736053466797,24117.49255137447,3.2369950553024047,0.250185489654541,30.0,158.87
NVIDIA GH200 120GB,2,16384,64,128,float16,0.014631296157836914,0.2926259231567383,6834.664469998942,3.6693325472223286,1.000185489654541,30.0,165.54
NVIDIA GH200 120GB,2,65536,64,128,float16,0.05691267013549805,1.138253402709961,1757.0779891704142,3.7732962500041856,4.000185489654541,30.0,190.66
NVIDIA GH200 120GB,4,1024,64,128,float16,0.0028559999465942384,0.05711999893188477,70028.01251397036,2.3497501839951673,0.1251239776611328,31.0,193.42
NVIDIA GH200 120GB,4,4096,64,128,float16,0.01026195240020752,0.20523904800415038,19489.46868979392,2.6158322074712768,0.5001239776611328,31.0,182.2
NVIDIA GH200 120GB,4,16384,64,128,float16,0.03907612609863281,0.7815225219726563,5118.214622789785,2.747820552348888,2.000123977661133,34.0,200.36
NVIDIA GH200 120GB,4,65536,64,128,float16,0.15215469360351563,3.0430938720703127,1314.4517284570895,2.822763592946936,8.000123977661133,34.0,247.15
NVIDIA GH200 120GB,8,1024,64,128,float16,0.005430111885070801,0.10860223770141601,73663.30721466978,2.4717304328297467,0.2502470016479492,34.0,258.55
NVIDIA GH200 120GB,8,4096,64,128,float16,0.02007574462890625,0.401514892578125,19924.54115121868,2.674226644759076,1.0002470016479492,33.0,261.45
NVIDIA GH200 120GB,8,16384,64,128,float16,0.07648966217041016,1.529793243408203,5229.46485381052,2.8075475653372006,4.000247001647949,32.0,290.77
NVIDIA GH200 120GB,8,65536,64,128,float16,0.3026197204589844,6.052394409179687,1321.7909242441922,2.8385243958892095,16.00024700164795,39.0,379.89
