gpu,batch,kv_len,heads,head_dim,dtype,latency_ms,tokens_per_s,approx_tflops,max_memory_gb,temperature_c,power_w
NVIDIA GH200 120GB,1,1024,64,128,bfloat16,0.029886560440063478,33459.85571024365,1.1227264531591823,0.031404972076416016,27.0,112.76
NVIDIA GH200 120GB,1,2048,64,128,bfloat16,0.029645600318908692,33731.818186936005,2.263703999179815,0.06265497207641602,27.0,123.74
NVIDIA GH200 120GB,1,4096,64,128,bfloat16,0.047983198165893554,20840.628349587583,2.797181787174035,0.12515497207641602,27.0,137.17
NVIDIA GH200 120GB,1,8192,64,128,bfloat16,0.0826854419708252,12094.02739061177,3.246465757475361,0.250154972076416,27.0,157.32
NVIDIA GH200 120GB,1,16384,64,128,bfloat16,0.1562521553039551,6399.911719967729,3.4359264418185633,0.500154972076416,28.0,186.69
NVIDIA GH200 120GB,1,32768,64,128,bfloat16,0.30492416381835935,3279.503951007606,3.5213405541701133,1.000154972076416,29.0,227.74
NVIDIA GH200 120GB,1,65536,64,128,bfloat16,0.6348489761352539,1575.1777786390428,3.382668522320308,2.000154972076416,31.0,294.68
NVIDIA GH200 120GB,2,1024,64,128,bfloat16,0.029836161136627196,67032.7523316925,2.2492459298866176,0.06268548965454102,29.0,286.82
NVIDIA GH200 120GB,2,2048,64,128,bfloat16,0.04817455768585205,41515.68994243951,2.786070790213341,0.12518548965454102,28.0,270.23
NVIDIA GH200 120GB,2,4096,64,128,bfloat16,0.08392463684082031,23830.904431476967,3.1985298489779703,0.250185489654541,28.0,262.18
NVIDIA GH200 120GB,2,8192,64,128,bfloat16,0.1535752010345459,13022.935907146304,3.495817738693592,0.500185489654541,28.0,261.74
NVIDIA GH200 120GB,2,16384,64,128,bfloat16,0.307740478515625,6498.982550644383,3.489114689036536,1.000185489654541,30.0,228.05
NVIDIA GH200 120GB,2,32768,64,128,bfloat16,0.621847038269043,3216.225015024832,3.4533953140271905,2.000185489654541,30.0,298.27
NVIDIA GH200 120GB,2,65536,64,128,bfloat16,1.2534976196289063,1595.53553886452,3.4263864795144254,4.000185489654541,31.0,403.57
NVIDIA GH200 120GB,4,1024,64,128,bfloat16,0.059432477951049806,67303.26814396848,2.2583229343145566,0.1251239776611328,31.0,382.15
NVIDIA GH200 120GB,4,2048,64,128,bfloat16,0.11355680465698242,35224.66145540708,2.3638870150569558,0.2501239776611328,31.0,358.11
NVIDIA GH200 120GB,4,4096,64,128,bfloat16,0.23647840499877928,16914.86374842831,2.270274581743611,0.5001239776611328,29.0,333.52
NVIDIA GH200 120GB,4,8192,64,128,bfloat16,0.5043926239013672,7930.330085045396,2.12878177260968,1.0001239776611328,30.0,264.68
NVIDIA GH200 120GB,4,16384,64,128,bfloat16,1.0515284729003906,3803.9863903703467,2.042249642633716,2.000123977661133,31.0,349.45
NVIDIA GH200 120GB,4,32768,64,128,bfloat16,2.1065054321289063,1898.879508683471,2.038906347210014,4.000123977661133,33.0,464.73
NVIDIA GH200 120GB,4,65536,64,128,bfloat16,4.256260070800781,939.7921963089609,2.0181883740914994,8.000123977661133,35.0,535.5
NVIDIA GH200 120GB,8,1024,64,128,bfloat16,0.11591775894165039,69014.44673397254,2.3157405599527037,0.2502470016479492,33.0,468.95
NVIDIA GH200 120GB,8,2048,64,128,bfloat16,0.23841552734375,33554.86150222723,2.2518286370918026,0.5002470016479492,31.0,377.84
NVIDIA GH200 120GB,8,4096,64,128,bfloat16,0.5081399917602539,15743.692938410739,2.1130826965231333,1.0002470016479492,31.0,318.75
NVIDIA GH200 120GB,8,8192,64,128,bfloat16,1.0325084686279298,7748.120468814135,2.0798702511890563,2.000247001647949,32.0,359.21
NVIDIA GH200 120GB,8,16384,64,128,bfloat16,2.1120925903320313,3787.7127341005257,2.0335127899505627,4.000247001647949,33.0,465.89
NVIDIA GH200 120GB,8,32768,64,128,bfloat16,4.245384216308594,1884.3995248458534,2.02335858295272,8.00024700164795,34.0,520.63
NVIDIA GH200 120GB,8,65536,64,128,bfloat16,8.508529052734374,940.2330238772647,2.0191350440860196,16.00024700164795,35.0,528.26
NVIDIA GH200 120GB,16,1024,64,128,bfloat16,0.24415279388427735,65532.73360280948,2.1989136534495857,0.500493049621582,32.0,439.78
NVIDIA GH200 120GB,16,2048,64,128,bfloat16,0.5252081680297852,30464.11113524918,2.0444118910563227,1.000493049621582,32.0,372.79
NVIDIA GH200 120GB,16,4096,64,128,bfloat16,1.0626670074462892,15056.456903136417,2.020843437268886,2.000493049621582,33.0,345.77
NVIDIA GH200 120GB,16,8192,64,128,bfloat16,2.1253585815429688,7528.141434084178,2.0208200786908805,4.000493049621582,33.0,460.66
NVIDIA GH200 120GB,16,16384,64,128,bfloat16,4.231420593261719,3781.236028741513,2.0300356352377142,8.000493049621582,35.0,528.08
NVIDIA GH200 120GB,16,32768,64,128,bfloat16,8.433729858398438,1897.1440001800572,2.037042859143991,16.000493049621582,35.0,521.8
NVIDIA GH200 120GB,16,65536,64,128,bfloat16,16.827232666015625,950.8396488932901,2.041912597868402,32.00049304962158,34.0,505.94
