gpu,batch,seq_len,heads,head_dim,dtype,runtime_s,latency_ms,tokens_per_s,approx_tflops,max_memory_gb,max_temperature_c,max_power_w
NVIDIA GH200 120GB,1,1024,64,128,float16,0.0014428160190582276,0.09618773460388183,10645847.97861197,357.21538208067284,0.0627450942993164,26.0,97.7
NVIDIA GH200 120GB,1,4096,64,128,float16,0.013512255668640137,0.9008170445760091,4546983.235566862,610.285759131873,0.2509775161743164,27.0,112.87
NVIDIA GH200 120GB,1,16384,64,128,float16,0.18589366149902345,12.392910766601563,1322046.1527209794,709.7681237174035,1.0039072036743164,27.0,134.65
NVIDIA GH200 120GB,1,65536,64,128,float16,2.802518310546875,186.83455403645834,350770.2327226445,753.2733389770336,4.015625953674316,42.0,451.97
NVIDIA GH200 120GB,2,1024,64,128,float16,0.0022904000282287598,0.15269333521525066,13412504.200742945,450.0489601535435,0.1254892349243164,41.0,431.1
NVIDIA GH200 120GB,2,4096,64,128,float16,0.02478220748901367,1.6521471659342448,4958396.061144859,665.504653851012,0.5019540786743164,35.0,377.23
NVIDIA GH200 120GB,2,16384,64,128,float16,0.36375363159179686,24.250242106119792,1351244.2414639096,725.4437282494774,2.0078134536743164,39.0,340.19
NVIDIA GH200 120GB,2,65536,64,128,float16,5.51765869140625,367.8439127604167,356325.0483510639,765.2022147067191,8.031250953674316,44.0,471.74
NVIDIA GH200 120GB,4,1024,64,128,float16,0.004043295860290528,0.2695530573527018,15195524.177047309,509.8771827030899,0.2509775161743164,44.0,455.1
NVIDIA GH200 120GB,4,4096,64,128,float16,0.0478427848815918,3.18951899210612,5136824.718883781,689.4529429028197,1.0039072036743164,38.0,406.06
NVIDIA GH200 120GB,4,16384,64,128,float16,0.7212973022460938,48.08648681640625,1362877.6884910685,731.6893875646518,4.015625953674316,41.0,374.6
NVIDIA GH200 120GB,4,65536,64,128,float16,10.9430380859375,729.5358723958333,359329.82861981227,771.6549311996893,16.062500953674316,46.0,484.7
NVIDIA GH200 120GB,8,1024,64,128,float16,0.007630047798156739,0.5086698532104492,16104748.390919028,540.3856847602019,0.5019540786743164,39.0,395.15
NVIDIA GH200 120GB,8,4096,64,128,float16,0.09588349151611328,6.392232767740885,5126221.336207806,688.0297809709359,2.0078134536743164,40.0,369.22
NVIDIA GH200 120GB,8,16384,64,128,float16,1.4361890869140626,95.74593912760416,1368956.2314002214,734.9527804399198,8.031250953674316,43.0,409.37
NVIDIA GH200 120GB,8,65536,64,128,float16,21.794697265625,1452.9798177083333,360836.39539255045,774.8902587087646,32.125000953674316,46.0,491.5
