gpu,batch,kv_len,heads,head_dim,dtype,runtime_s,latency_ms,tokens_per_s,approx_tflops,max_memory_gb,max_temperature_c,max_power_w
NVIDIA GB10,1,1024,64,128,float16,0.007799967765808106,0.1559993553161621,6410.28290131912,0.21509340171307514,0.031374454498291016,37.0,4.67
NVIDIA GB10,1,4096,64,128,float16,0.03183625602722168,0.6367251205444336,1570.5364335946838,0.21079383185830133,0.12512445449829102,37.0,4.86
NVIDIA GB10,1,16384,64,128,float16,0.11740399932861328,2.3480799865722655,425.8798702423264,0.2286425143394394,0.500124454498291,37.0,5.2
NVIDIA GB10,1,65536,64,128,float16,0.47045086669921876,9.409017333984375,106.28102430931929,0.22823676179695368,2.000124454498291,38.0,8.61
NVIDIA GB10,2,1024,64,128,float16,0.018123647689819337,0.3624729537963867,5517.653052601181,0.18514171415309877,0.06256246566772461,38.0,8.62
NVIDIA GB10,2,4096,64,128,float16,0.06703660583496093,1.3407321166992188,1491.722302381962,0.20021557823263592,0.2500624656677246,38.0,8.72
NVIDIA GB10,2,16384,64,128,float16,0.2595710754394531,5.1914215087890625,385.25093688000584,0.20683002183162316,1.0000624656677246,38.0,10.05
NVIDIA GB10,2,65536,64,128,float16,1.0354537353515625,20.70907470703125,96.57601936801888,0.20739542238175182,4.000062465667725,39.0,11.34
NVIDIA GB10,4,1024,64,128,float16,0.03718751907348633,0.7437503814697266,5378.148502049292,0.18046071819791482,0.1251239776611328,39.0,11.08
NVIDIA GB10,4,4096,64,128,float16,0.13300985717773436,2.6601971435546874,1503.647956953672,0.20181621249416368,0.5001239776611328,39.0,11.1
NVIDIA GB10,4,16384,64,128,float16,0.5162466430664062,10.324932861328126,387.41172012671746,0.20799008350391957,2.000123977661133,39.0,11.19
NVIDIA GB10,4,65536,64,128,float16,2.074064453125,41.4812890625,96.42901873114856,0.20707974091782724,8.000123977661133,39.0,11.48
NVIDIA GB10,8,1024,64,128,float16,0.06387055969238281,1.2774111938476562,6262.666272638032,0.2101402095839263,0.2502470016479492,39.0,10.93
NVIDIA GB10,8,4096,64,128,float16,0.2735732116699219,5.471464233398438,1462.131462208433,0.19624396289493376,1.0002470016479492,39.0,10.95
NVIDIA GB10,8,16384,64,128,float16,0.969914306640625,19.3982861328125,412.4075676184545,0.22140962694302133,4.000247001647949,39.0,12.04
NVIDIA GB10,8,65536,64,128,float16,3.8654130859375,77.30826171875,103.48182486762234,0.22222552676841872,16.00024700164795,39.0,12.05
